City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
223,Gornoye Loo,RU,76.78,43.7129,39.6049,«ВатерЛоо» гостиница
224,Johnstown,US,80.44,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
225,San-Pedro,CI,78.76,4.7485,-6.6363,Hotel Maria
226,Kovdor,RU,75.33,67.5662,30.4758,Derevo Zhelaniy
227,Altagracia De Orituco,VE,79.95,9.8601,-66.3814,Posada Quinta Mi Refugio
228,Covington,US,82.58,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
229,Palani,IN,82.33,10.4667,77.5333,Palani Temple Accommodation
230,The Valley,AI,84.81,18.217,-63.0578,CeBlue Villas & Beach Resort
231,Vila Do Maio,CV,83.19,15.1333,-23.2167,Hotel Marilu
232,Sal Rei,CV,79,16.1833,-22.9167,Marine Club Beach Resort
234,Pout,SN,88.56,14.7739,-17.0603,chez sada niang
235,Kushima,JP,81.23,31.4583,131.2333,Hanaoka
236,Puerto Penasco,MX,86.65,31.3167,-113.5333,Playa Bonita Resort
237,Lethem,GY,83.28,3.3803,-59.7968,Savannah Inn
