City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bacolod,PH,2022-07-21 13:49:30,10.6667,122.95,80.02,83,100,5.44
68,Saint-Philippe,RE,2022-07-21 13:49:30,-21.3585,55.7679,71.22,79,42,15.26
69,Mantua,IT,2022-07-21 13:49:30,45.1667,10.7833,100.09,32,0,2.59
70,Svetlogorsk,BY,2022-07-21 13:49:31,52.6333,29.7333,74.35,62,16,15.37
71,Yellowknife,CA,2022-07-21 13:45:52,62.456,-114.3525,59.56,67,20,6.91
72,Upernavik,GL,2022-07-21 13:49:31,72.7868,-56.1549,45.27,89,100,9.71
73,Kharp,RU,2022-07-21 13:49:31,66.8014,65.8081,60.73,39,19,7.63
74,Laguna,US,2022-07-21 13:47:23,38.421,-121.4238,72.18,73,0,6.91
75,Vila Velha,BR,2022-07-21 13:49:32,-20.3297,-40.2925,78.75,77,40,12.66
76,Santa Fe,AR,2022-07-21 13:49:32,-31.6333,-60.7,65.01,62,77,10.87
77,Melendugno,IT,2022-07-21 13:49:32,40.2747,18.3368,93.29,33,0,12.66
78,San Patricio,US,2022-07-21 13:49:33,28.017,-97.5169,87.89,63,0,15.01
79,Kakonko,TZ,2022-07-21 13:49:33,-3.2828,30.9642,80.26,31,100,5.46
80,Novopokrovka,UA,2022-07-21 13:49:33,49.8425,36.5477,69.33,59,77,14.43
81,Nelson Bay,AU,2022-07-21 13:45:51,-32.7167,152.15,62.01,81,100,18.01
82,Tiksi,RU,2022-07-21 13:49:34,71.6872,128.8694,40.69,84,10,7.85
83,Zemio,CF,2022-07-21 13:49:34,5.0314,25.1361,82.18,69,100,4.9
84,Bermeo,ES,2022-07-21 13:49:34,43.4209,-2.7215,84.6,71,0,11.74
85,Broken Hill,AU,2022-07-21 13:47:30,-31.95,141.4333,48.25,86,85,7.56
86,Urbana,US,2022-07-21 13:49:38,40.1106,-88.2073,78.1,74,0,3.0
87,Baoro,CF,2022-07-21 13:49:38,5.6667,15.9667,76.59,86,100,4.52
88,Boulder City,US,2022-07-21 13:49:38,35.9786,-114.8325,92.05,19,10,3.24
89,Katsuura,JP,2022-07-21 13:46:20,35.1333,140.3,77.45,93,100,11.41
90,Esperance,AU,2022-07-21 13:44:36,-33.8667,121.9,53.44,76,58,20.94
91,Tateyama,JP,2022-07-21 13:49:39,34.9833,139.8667,79.11,92,100,10.94
92,Jacareacanga,BR,2022-07-21 13:49:39,-6.2222,-57.7528,89.02,43,50,1.1
93,Saskylakh,RU,2022-07-21 13:49:22,71.9167,114.0833,54.91,61,96,14.43
94,Ajdabiya,LY,2022-07-21 13:49:39,30.7554,20.2263,84.22,46,0,19.8
95,Grand-Bourg,GP,2022-07-21 13:49:40,15.8835,-61.3148,86.2,80,50,20.11
96,Tadine,NC,2022-07-21 13:49:40,-21.55,167.8833,74.43,87,44,11.65
97,Oranjemund,NA,2022-07-21 13:49:40,-28.55,16.4333,60.46,58,0,12.75
98,Mangrol,IN,2022-07-21 13:49:41,21.1167,70.1167,82.18,80,100,16.17
99,Manyana,BW,2022-07-21 13:49:41,-23.4,21.7167,72.32,24,24,11.14
100,Prince George,CA,2022-07-21 13:45:51,53.9166,-122.753,54.63,85,0,3.44
101,Ojinaga,MX,2022-07-21 13:49:41,29.5667,-104.4167,91.42,42,0,9.22
102,Samana,DO,2022-07-21 13:49:42,19.2056,-69.3369,80.82,83,40,4.61
103,Benguela,AO,2022-07-21 13:49:42,-12.5763,13.4055,71.87,74,47,8.41
104,Shaowu,CN,2022-07-21 13:49:42,27.3409,117.4831,82.33,73,1,1.99
105,Erzin,TR,2022-07-21 13:49:43,36.9559,36.2,86.61,60,0,11.9
106,Nemuro,JP,2022-07-21 13:49:43,43.3236,145.575,56.82,90,0,8.84
107,Sabang,ID,2022-07-21 13:49:43,5.8933,95.3214,83.62,73,100,14.5
108,Christchurch,NZ,2022-07-21 13:45:06,-43.5333,172.6333,43.0,75,100,9.22
109,Isangel,VU,2022-07-21 13:49:44,-19.55,169.2667,75.2,90,11,8.63
110,Kapaa,US,2022-07-21 13:49:44,22.0752,-159.319,80.19,83,100,12.66
111,Luderitz,NA,2022-07-21 13:49:44,-26.6481,15.1594,67.78,50,0,15.86
112,Busselton,AU,2022-07-21 13:49:44,-33.65,115.3333,58.37,73,100,13.2
113,Lompoc,US,2022-07-21 13:46:33,34.6391,-120.4579,55.54,98,100,3.44
114,East London,ZA,2022-07-21 13:43:50,-33.0153,27.9116,63.54,67,0,13.8
115,Tasiilaq,GL,2022-07-21 13:49:45,65.6145,-37.6368,41.16,71,96,4.52
116,Blagoyevo,RU,2022-07-21 13:49:45,63.3667,47.9167,81.16,34,85,8.08
117,Kingman,US,2022-07-21 13:46:41,35.1894,-114.053,85.55,29,0,6.91
118,Aswan,EG,2022-07-21 13:49:46,24.0934,32.907,106.9,13,0,9.22
119,Oxapampa,PE,2022-07-21 13:49:46,-10.5775,-75.4017,66.06,68,12,2.01
120,Ponta Do Sol,PT,2022-07-21 13:49:46,32.6667,-17.1,81.72,69,0,4.7
121,Sola,VU,2022-07-21 13:49:46,-13.8833,167.55,80.87,77,7,18.25
122,Bilma,NE,2022-07-21 13:49:47,18.6853,12.9164,105.22,15,15,7.27
123,Diamantino,BR,2022-07-21 13:49:47,-14.4086,-56.4461,88.27,27,5,9.01
124,Ribeira Grande,PT,2022-07-21 13:49:47,38.5167,-28.7,73.8,94,20,5.75
125,Denpasar,ID,2022-07-21 13:49:48,-8.65,115.2167,78.46,88,40,13.8
126,Salalah,OM,2022-07-21 13:49:48,17.0151,54.0924,78.89,89,100,9.22
127,Tigil,RU,2022-07-21 13:49:48,57.8,158.6667,54.18,67,37,4.83
128,Acapulco,MX,2022-07-21 13:47:55,16.8634,-99.8901,81.9,81,87,3.42
129,Bluefield,US,2022-07-21 13:49:49,37.2698,-81.2223,71.65,91,20,8.05
130,Saint George,US,2022-07-21 13:49:49,37.1041,-113.5841,85.78,29,0,9.22
131,Aklavik,CA,2022-07-21 13:49:52,68.2191,-135.0107,53.6,100,100,0.0
132,Portmore,JM,2022-07-21 13:49:52,17.9702,-76.8672,87.76,68,20,23.02
133,Kuryk,KZ,2022-07-21 13:49:53,43.2,51.65,95.25,31,64,12.01
134,Canete,CL,2022-07-21 13:49:12,-37.8,-73.4,49.35,93,77,0.74
135,Caconda,AO,2022-07-21 13:49:53,-13.7333,15.0667,79.97,15,0,2.77
136,Axim,GH,2022-07-21 13:49:53,4.8699,-2.2405,79.48,58,60,7.49
137,Alexandria,EG,2022-07-21 13:49:43,31.2156,29.9553,86.54,54,0,17.27
138,Bredasdorp,ZA,2022-07-21 13:49:42,-34.5322,20.0403,62.31,50,12,4.43
139,Talnakh,RU,2022-07-21 13:49:54,69.4865,88.3972,61.21,67,20,11.23
140,Preobrazheniye,RU,2022-07-21 13:49:54,42.9019,133.9064,64.04,95,93,5.17
141,Pinahat,IN,2022-07-21 13:49:54,26.8839,78.3781,88.77,63,100,9.44
142,Pevek,RU,2022-07-21 13:49:55,69.7008,170.3133,31.8,99,100,9.15
143,Kosh-Agach,RU,2022-07-21 13:49:55,50.0,88.6667,50.67,78,77,2.21
144,Abu Kamal,SY,2022-07-21 13:49:55,34.4506,40.9171,105.03,9,0,12.17
145,Vila Franca Do Campo,PT,2022-07-21 13:49:56,37.7167,-25.4333,78.19,70,71,4.43
146,Porto Murtinho,BR,2022-07-21 13:49:56,-21.6989,-57.8825,89.62,20,8,11.74
147,Shenjiamen,CN,2022-07-21 13:49:56,29.9576,122.298,79.63,91,99,1.5
148,Sekoma,BW,2022-07-21 13:49:56,-24.4,23.8833,71.24,26,76,5.32
149,Biak,ID,2022-07-21 13:49:57,-0.9131,122.8766,75.99,85,32,5.68
150,Auki,SB,2022-07-21 13:49:57,-8.7676,160.7034,77.22,88,68,4.25
151,La Ronge,CA,2022-07-21 13:45:51,55.1001,-105.2842,61.05,67,75,14.97
152,Barrow,US,2022-07-21 13:44:35,71.2906,-156.7887,42.82,87,40,19.57
153,Fortuna,US,2022-07-21 13:49:57,40.5982,-124.1573,55.65,91,86,4.63
154,Guisijan,PH,2022-07-21 13:49:58,11.0932,122.0461,81.07,81,100,3.83
155,Barinas,VE,2022-07-21 13:49:58,8.6226,-70.2075,78.84,94,32,1.14
156,Ilhabela,BR,2022-07-21 13:48:35,-23.7781,-45.3581,73.22,74,2,4.12
157,Bonavista,CA,2022-07-21 13:49:58,48.6499,-53.1147,58.42,87,100,16.46
158,Loubomo,CG,2022-07-21 13:49:59,-4.1997,12.6739,91.02,35,18,4.52
159,Kaitangata,NZ,2022-07-21 13:49:59,-46.2817,169.8464,43.47,88,100,6.35
160,Maningrida,AU,2022-07-21 13:49:59,-12.0667,134.2667,66.2,60,97,11.43
161,Bardiyah,LY,2022-07-21 13:50:00,31.7561,25.0865,82.92,45,0,16.28
162,Port Elizabeth,ZA,2022-07-21 13:50:00,-33.918,25.5701,63.32,70,0,10.36
163,Udachnyy,RU,2022-07-21 13:45:34,66.4167,112.4,50.45,100,100,2.21
164,Uinskoye,RU,2022-07-21 13:50:00,56.8817,56.5813,64.02,78,99,4.65
165,Qaanaaq,GL,2022-07-21 13:50:01,77.484,-69.3632,45.46,72,99,5.93
166,Mount Gambier,AU,2022-07-21 13:50:01,-37.8333,140.7667,46.65,84,48,8.5
167,Hamilton,US,2022-07-21 13:48:02,39.1834,-84.5333,82.09,81,0,5.75
168,Namibe,AO,2022-07-21 13:50:01,-15.1961,12.1522,66.83,72,75,11.5
169,Muroto,JP,2022-07-21 13:50:02,33.2833,134.15,80.15,92,8,10.0
170,Ambilobe,MG,2022-07-21 13:50:02,-13.2,49.05,77.85,48,11,11.32
171,Avarua,CK,2022-07-21 13:50:02,-21.2078,-159.775,71.65,73,40,14.97
172,Sao Joao Da Barra,BR,2022-07-21 13:50:03,-21.6403,-41.0511,73.49,72,18,5.37
173,Sao Jose Da Coroa Grande,BR,2022-07-21 13:50:03,-8.8978,-35.1478,78.1,78,73,13.09
174,Novovasylivka,UA,2022-07-21 13:50:03,46.8315,35.7536,81.36,28,53,13.22
175,Tuatapere,NZ,2022-07-21 13:50:04,-46.1333,167.6833,44.58,87,100,2.57
176,Roma,US,2022-07-21 13:45:57,43.2128,-75.4557,84.72,69,100,4.61
177,Vista Hermosa,MX,2022-07-21 13:50:04,19.5167,-99.2167,63.55,49,63,1.86
178,Hualmay,PE,2022-07-21 13:50:04,-11.0964,-77.6139,61.81,82,84,8.59
179,Leningradskiy,RU,2022-07-21 13:50:08,69.3833,178.4167,32.97,98,100,14.16
180,Trat,TH,2022-07-21 13:50:08,12.5,102.5,79.92,97,100,2.59
181,Samarai,PG,2022-07-21 13:50:08,-10.6167,150.6667,80.22,81,1,8.52
182,Porto Novo,BJ,2022-07-21 13:50:09,6.4965,2.6036,82.22,62,91,11.03
183,Royan,FR,2022-07-21 13:50:09,45.6285,-1.0281,74.84,56,0,12.68
184,Makakilo City,US,2022-07-21 13:48:48,21.3469,-158.0858,75.52,77,0,10.36
185,Ballina,AU,2022-07-21 13:50:09,-28.8667,153.5667,58.01,99,100,19.04
186,Lazaro Cardenas,MX,2022-07-21 13:50:09,17.9583,-102.2,82.11,84,98,5.7
187,Los Llanos De Aridane,ES,2022-07-21 13:49:37,28.6585,-17.9182,73.15,73,20,18.41
188,Ahipara,NZ,2022-07-21 13:50:10,-35.1667,173.1667,55.83,78,100,11.65
189,Oksfjord,NO,2022-07-21 13:50:10,70.2396,22.3479,62.01,92,100,4.76
190,Atakpame,TG,2022-07-21 13:50:10,7.5333,1.1333,83.12,59,96,2.44
191,Olafsvik,IS,2022-07-21 13:50:11,64.8945,-23.7142,52.02,79,96,3.96
192,Lumut,MY,2022-07-21 13:50:11,4.2323,100.6298,82.42,83,20,0.0
193,Pabellon De Arteaga,MX,2022-07-21 13:49:46,22.15,-102.25,70.61,44,5,2.33
194,Kununurra,AU,2022-07-21 13:50:11,-15.7667,128.7333,60.78,72,10,0.0
195,Muros,ES,2022-07-21 13:50:12,42.7762,-9.0603,75.38,65,4,13.76
196,Chuy,UY,2022-07-21 13:50:12,-33.6971,-53.4616,63.48,92,100,7.36
197,Victor Harbor,AU,2022-07-21 13:50:12,-35.5667,138.6167,53.67,89,100,16.93
198,Samagaltay,RU,2022-07-21 13:50:13,50.6022,95.0047,57.22,41,60,1.74
199,Kuznechnoye,RU,2022-07-21 13:50:13,61.12,29.8686,81.0,42,7,2.28
200,Novikovo,RU,2022-07-21 13:50:13,51.1537,37.8879,63.23,81,90,11.18
201,Ashqelon,IL,2022-07-21 13:50:13,31.6693,34.5715,89.82,65,0,11.86
202,Maniitsoq,GL,2022-07-21 13:50:14,65.4167,-52.9,44.65,95,100,16.8
203,Berlevag,NO,2022-07-21 13:50:14,70.8578,29.0864,69.6,82,20,8.05
204,Kapuskasing,CA,2022-07-21 13:47:02,49.4169,-82.4331,59.09,100,100,12.66
205,El Alto,PE,2022-07-21 13:50:14,-4.2714,-81.2147,60.46,73,93,14.27
206,Vostok,RU,2022-07-21 13:50:15,46.4856,135.8833,58.96,98,29,2.77
207,Kodiak,US,2022-07-21 13:50:15,57.79,-152.4072,51.31,93,100,0.0
208,Loiza,PR,2022-07-21 13:48:35,18.4313,-65.8802,82.4,90,95,14.45
209,Paraiso,CR,2022-07-21 13:50:15,9.8383,-83.8656,68.88,100,100,3.74
210,Lavrentiya,RU,2022-07-21 13:50:16,65.5833,-171.0,40.59,91,100,18.16
